customer-id;activity-segment
tzltzjojq;undefined
rqdtttqj;undefined
tzdoztsrz;undefined
rdtdtrtt;undefined
tjqjodlld;undefined
djxzjz;undefined
tzoorlrdt;undefined
ljltdxdl;undefined
xdxsltq;undefined
txjllldxl;undefined
tjqtlstoo;undefined
dzrlorqr;undefined
dsjtxrx;undefined
tqlrjqxsz;undefined
ttrxldjsl;undefined
tjlztdjls;undefined
ttqqzsxzx;undefined
rxlrjlsj;undefined
tjsqqqdzo;undefined
tzldlttjs;undefined
ttjroorsx;undefined
txjzozxlr;undefined
tqrqqqzst;undefined
ttoxjdzzj;undefined
rsorlxds;undefined
tqdrdlsxo;undefined
rdooqjdj;undefined
ttzzxxrsd;undefined
tzsdsjlsx;undefined
tjdsszdoz;undefined
xxdtortl;undefined
sqqjjlxj;undefined
tzrqrlxdo;undefined
xqosjjsr;undefined
tqsrtsllo;undefined
szdzsssj;undefined
tzlsqqljo;undefined
dztjlltl;undefined
rzdxxxjl;undefined
tqqlxsxqs;undefined
qsoxttj;active
ltsjzodq;inactive
qtlrqszx;inactive
rojjqlt;inactive
dtsxzsso;inactive
dtsxxrlx;inactive
dtsllqzs;inactive
doslqslj;inactive
djrzrzsd;inactive
dtozxltt;inactive
dzqqzrts;inactive
qjddqojl;inactive
ossszro;active
zloxqoor;inactive
qtdlsdrz;inactive
dlxqdszj;inactive
dlltstst;inactive
ddxjstoz;inactive
ddsjjqzj;inactive
ddstzojd;inactive
ordjzxd;inactive
drdlstor;inactive
drdlsxlz;inactive
tjtdzqz;inactive
dsdtjtrt;inactive
rqdjsxt;active
srsortl;inactive
tzxlzjlrl;inactive
xtojsds;active
qdzrlzj;inactive
rtojtxrr;inactive
rtojtzzd;inactive
txqqqqlqo;active
dsttzdxl;inactive
rqqxtjjo;inactive
tqljsrdqj;inactive
rrrqoxl;inactive
rqrrtoor;inactive
rtddltll;inactive
rzqqrrzr;inactive
qjqzxqtr;inactive
rzlrodoz;inactive
lrqrjdt;inactive
rxjzxodz;inactive
rxoolooj;inactive
rjsorzrq;inactive
rllxtrtj;inactive
qqjssx;active
rlsoqrod;inactive
otzlqdr;inactive
rodzqlls;inactive
rosddrzj;inactive
rsjsdxdd;inactive
rdlxrxjq;inactive
dorjjzqz;inactive
rddjztzx;inactive
rrjlsltt;inactive
lqltrrsl;active
rlxzjood;inactive
rrqrrtxt;inactive
tqrzzxsdj;inactive
ttooszjqz;active
rjqzrssr;inactive
qqlqxloo;active
xqodtdjj;inactive
rrsljsxl;inactive
rrsotrxz;inactive
sjdoxoxo;inactive
rxlrjlrq;inactive
rslsxojl;inactive
rssdlllq;inactive
qjzqzqoo;inactive
sjjrroxt;inactive
sjqdzdql;inactive
xstqddzt;inactive
qxlzqss;inactive
sjdsdoxt;inactive
zrozqjz;inactive
lrxqqll;active
rssdllzx;inactive
sqxrsrjz;inactive
sqorjzxq;inactive
sqdlltqt;inactive
sqqoxoxr;inactive
tdqjxtzt;inactive
szqzjxqs;inactive
szroqjlo;inactive
sztljzzd;inactive
ssdlqoj;active
szdrrtqr;inactive
rtoqxxzr;active
sxtlrrox;inactive
sxtsodjl;inactive
ostljlox;inactive
soldldqj;inactive
sxdjotxd;inactive
sljxtsod;inactive
rldtzddd;inactive
slzttzql;inactive
tjdzzqt;active
slxlsstt;inactive
slxdsoos;inactive
sllljsjo;inactive
slorqssl;inactive
qtdlsdsx;inactive
rjjtojtx;inactive
sqosrzrj;inactive
rrxjosrt;inactive
oxlxxo;inactive
soldlsso;inactive
xdxsljd;inactive
sdqljdxo;inactive
ljroxzdr;active
sdootzlr;inactive
tjjjtoxdl;inactive
tjjxlxqjx;inactive
tjjrqrzoj;inactive
xqzjoojs;active
tjqjjqdjs;inactive
tjqqzzqtt;inactive
tjqqzztll;inactive
lqxrxdoq;inactive
tjqxrsjtj;inactive
tjqlxxoto;inactive
tjqlxzdoo;inactive
tjqrllzol;inactive
tjqsqtdzq;inactive
rtqzxlsd;inactive
tjtqjrqrx;inactive
tjtzrjlzo;inactive
tjtssxjzz;inactive
ljltztzj;inactive
tjzoljrsx;inactive
tjdozdztj;inactive
tjxttrxxr;inactive
sxsqojsq;active
slzqrzsl;inactive
qrodqsr;inactive
tjlzosdzr;inactive
tqlrztsxo;inactive
sqqrzsoo;inactive
tjxdztstx;inactive
tjxdqosor;inactive
tzsrorssd;active
tjxstojjq;inactive
qzjsqsdt;inactive
ddxqtdqj;inactive
qqrljlrd;inactive
tjldzojts;inactive
tjlrxroqs;inactive
qzqxdqjx;inactive
tjojsjozd;inactive
tjoxqqoqo;inactive
tjoldzqsj;inactive
dojtltj;inactive
dsdoqsqo;inactive
qqsljljr;active
tjsrzoxtr;inactive
sjzxxstj;inactive
tjdxstzsr;active
tjdoxqrsl;inactive
djxslqj;inactive
tjrtotxxt;inactive
tjrxltszd;inactive
tjrzdsdxl;inactive
tjsxtqsst;inactive
stdtqjso;inactive
tqlztxrqd;inactive
tjszsslqj;inactive
tjsxzrtzo;inactive
rjloxslx;inactive
tjroqolqj;active
tjssojzzq;active
tjssxdttq;inactive
tqqxqslsd;inactive
tqlqzojst;new
tqdqoljql;new
tqlztxrts;new
tztqolldz;new
tqodsjdrq;new
tqodlqzro;new
tqxdljdzs;new
tqlqzrxos;new
tjxdorrjr;new
tqoqoxzxr;new
tqotrrqxq;new
tqoqxtlrd;new
otjzxox;new
ttqtxrddt;new
tqdqosotd;new
qtdzrrod;new
tqrtdrzdl;new
ttqqxsdzq;new
slrrzdj;new
ttqrxxjrj;new
ttjdzrttz;new
tqrzlltsj;new
tqrzrooxo;new
tttlsddzq;new
tqsjoooso;new
otjrjt;new
tqstxrzoq;new
tztqqxroo;new
dzrxzxrr;new
tzxzroods;new
ttjttrrzr;new
ttjdoxrld;new
ttjdoxszq;new
ttqjsztjx;new
qqqltqqq;new
dsdlltrr;new
dlxjqjot;new
txqxtjdst;new
tjldszdxz;new
tqsdxdxrj;new
ttqtoqxst;new
ttqzlrqzs;new
ttztsoxro;new
ttqdtqoto;new
qjsldzoq;new
tttosrtzs;new
tttdrsorq;new
qzjxrlsr;new
odroxjr;new
sttsltld;new
tttrojldt;new
ttztqqqtt;new
ttztjotzt;new
ttzrxqqdz;new
ttztrqzqs;new
ttzrlzlsl;new
ttzrxqtjq;new
ttzsodddj;new
dldlszdd;new
ttxxdrjrx;new
ttxjroors;new
ttxjrodzd;new
tttslxroj;new
ttxollttl;new
ttlqdrxsx;new
tqoltjszd;new
ttxddzxqo;new
ttxrssjjo;new
ttqqdxxqx;new
ttlzozxtr;new
roosqdll;new
ttloxzjlz;new
sqlzott;new
ttldoxsqz;new
ttojrzqqr;new
ttoljsxjq;new
odxstrt;new
ttrtorjtl;new
ttrxldjqj;new
ldsxslt;new
ttdzdqsoo;new
ttrdxrjjd;new
ttrrqdoqs;new
ttrssjorq;new
ttrssjorz;new
ttsqlloll;new
ttsqodxqo;new
ttsttostz;new
tjjxxqooq;new
tzqtdxost;new
ttszsslox;new
lzzljdz;new
ttsojolqo;new
tjqojsjtr;new
ttsrsxxsl;new
ttjzrztzz;new
tzjdxtsqq;new
ttssoxjtj;new
ttssozqqt;new
ttqortsdq;new
rsxjoxdd;new
otrsqol;new
tzjxqrllq;new
tzjxzqzzq;new
tzjotoxjz;new
tztzodjrz;new
tzjsxollz;new
tzqdljlzo;new
tzqqxzjdx;new
tzqqtotjz;new
tzqlxotro;new
rjtqqroo;new
tzlloztjq;new
tztqjxrss;new
tjorjxoql;new
tztzdorls;new
tztzdodxj;new
qxoxzzo;new
txxrlllxq;new
tzxqrsljq;new
qjqrssxq;new
tttjqozzj;new
tztddodsl;new
ttosszxdr;new
tztrltslq;new
tztdsxlzz;new
tztrdzjds;new
tztsssxlj;new
tzzjqzlxt;new
tzzjoottz;new
tzllxojtt;new
tzztrztqq;new
tzztrzqro;new
tjjsqostx;new
tzzdttzrr;new
txzssjdqj;new
tzxjtrodj;new
xzlssdr;new
qjltorso;new
tzxlrjooo;new
tzxdozqds;new
tzljttttl;new
tqdxjzott;new
tttdjlllr;new
tzorjstjl;new
tzllxojjj;new
tzlsltoxl;new
tzlooltld;new
tzloqjrsz;new
tzlooltlt;new
tzldtxtsj;new
tzrzoqjoj;new
tzldtxxdx;new
tzdjrostx;new
tzoxljxll;new
